TIME_PERIOD,Reference area,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,Housing spending,Community development spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Gini index,Region
2007,Denmark,DNK,69.0,25.0,0.058823277235859,0.0802419875921413,0.006405331944132,6.138331724396699e-07,4.28641666666667,3.75,5461438.0,58631.6566433635,1.69326586220315,26.2,Europe and Central Asia
2008,Denmark,DNK,68.800003,25.0,0.0603281052644728,0.0826399087020513,0.0063005524108281,2.2102722731896178e-07,4.28433333333333,3.68333333333333,5493621.0,64616.6657583663,3.41626794258373,25.2,Europe and Central Asia
2009,Denmark,DNK,68.900002,25.0,0.0685961824228774,0.0928709189171824,0.0067268500573892,6.360152569988138e-07,3.58633333333333,6.40833333333333,5523095.0,58412.7472358513,1.30470991024337,26.7,Europe and Central Asia
2010,Denmark,DNK,68.099998,25.0,0.0706420359139925,0.0898668143362683,0.0067461185691082,7.391489363136302e-06,2.92608333333333,7.75,5547683.0,58104.5445594981,2.31092436974789,27.2,Europe and Central Asia
2011,Denmark,DNK,68.699997,25.0,0.0676175907773794,0.0884810211157127,0.0068929919246995,0.0,2.72925,7.75833333333333,5570572.0,61809.737898222,2.7586822605125,27.3,Europe and Central Asia
2012,Denmark,DNK,69.0,25.0,0.0693516642144714,0.0907991179459616,0.0069868162908106,0.0,1.40341666666667,7.78333333333333,5591572.0,58443.7747103968,2.3979148566464,27.8,Europe and Central Asia
2013,Denmark,DNK,68.800003,25.0,0.0684509692373497,0.0888136950521951,0.0068962383221259,0.0,1.745,7.375,5614932.0,61377.5940590412,0.789071780078062,28.5,Europe and Central Asia
2014,Denmark,DNK,68.5,24.5,0.0710825110952608,0.0895357079098237,0.0070068836746768,0.0,1.32483333333333,6.925,5643475.0,62520.4509747011,0.56402054044954,28.4,Europe and Central Asia
2015,Denmark,DNK,68.199997,23.5,0.0700889101685039,0.0892721711925464,0.0070565847011632,0.0,0.6905,6.26666666666667,5683483.0,53094.0133607574,0.452034153691575,28.2,Europe and Central Asia
2016,Denmark,DNK,67.400002,22.0,0.0679080107176982,0.0880576190306574,0.0068381020672103,0.0,0.320333333333333,5.98333333333333,5728010.0,54500.9260410217,0.250000000000031,28.2,Europe and Central Asia
2017,Denmark,DNK,66.699997,22.0,0.0642707525244239,0.0866783141714699,0.0066768636346866,0.0,0.476416666666667,5.81666666666667,5764980.0,57521.5514992225,1.14713216957602,28.7,Europe and Central Asia
2018,Denmark,DNK,67.5,22.0,0.0639097533898871,0.086903053689803,0.0066078676246172,0.0,0.454833333333333,5.15,5793636.0,61324.7665045565,0.813609467455631,28.2,Europe and Central Asia
2019,Denmark,DNK,67.0,22.0,0.0632064686884425,0.0873079645369513,0.0066007457247973,0.0,-0.183416666666667,5.025,5814422.0,59404.2663247723,0.75813157251162,27.7,Europe and Central Asia
2003,Luxembourg,LUX,44.0,30.38,0.0486866979417293,0.052019486422673,0.0,0.0031024939788855,3.316,3.80833333333333,451630.0,65689.3214536911,2.04984030563518,30.2,Europe and Central Asia
2004,Luxembourg,LUX,43.400002,30.38,0.049047891676395,0.0540728324457703,0.0,0.0026290036033773,2.84341666666667,4.95,458095.0,76544.9170868473,2.22567916428889,30.2,Europe and Central Asia
2005,Luxembourg,LUX,42.599998,30.38,0.0485463055925573,0.0544226003737112,0.0,0.0024427870347417,2.412666666666667,4.65,465158.0,80988.1376230858,2.48769665164088,30.8,Europe and Central Asia
2006,Luxembourg,LUX,41.400002,29.63,0.0442273009442998,0.0492473382258893,0.0,0.001841694721982,3.30366666666667,4.575,472637.0,90788.8004876145,2.66631494577069,30.9,Europe and Central Asia
2007,Luxembourg,LUX,39.5,29.63,0.042716756376531,0.04700373410983,0.0,0.0015171921568365,4.46108333333333,4.16666666666667,479993.0,107475.320297978,2.31245861786127,31.1,Europe and Central Asia
2008,Luxembourg,LUX,37.599998,29.63,0.0432691597525481,0.0473704296515739,0.0,0.0016898461690117,4.60816666666667,4.91666666666667,488650.0,120422.137934157,3.40187963025571,32.6,Europe and Central Asia
2009,Luxembourg,LUX,36.799999,28.59,0.0486712890456399,0.052813079638459,0.0,0.003495708135438,4.22875,5.11666666666667,497783.0,109419.746953106,0.368041997888887,31.2,Europe and Central Asia
2010,Luxembourg,LUX,36.099998,28.59,0.0501189605429758,0.0497550687497262,0.0,0.0034606274621802,3.16916666666667,4.58333333333333,506953.0,110885.991378721,2.2736791162154,30.5,Europe and Central Asia
2011,Luxembourg,LUX,36.599998,28.8,0.049895691821574,0.0492359961199788,0.0,0.0033844374896133,2.92333333333333,4.83333333333333,518347.0,119025.057203467,3.41068341068342,32.1,Europe and Central Asia
2012,Luxembourg,LUX,35.299999,28.8,0.0507014987973022,0.0503481497902323,0.0,0.0032474149317638,1.821,5.06666666666667,530946.0,112584.676270958,2.66284165508021,34.3,Europe and Central Asia
2013,Luxembourg,LUX,34.799999,29.22,0.0468066792588474,0.0521274393954893,0.0005986415298059,0.0013172557921928,1.85091666666667,5.875,543360.0,120000.140729859,1.73403963519162,32.0,Europe and Central Asia
2014,Luxembourg,LUX,34.099998,29.22,0.0456489602640373,0.0506239249888225,0.0002629784194348,0.0019464650854055,1.3368333333333335,6.05,556319.0,123678.702143275,0.628543985440717,31.2,Europe and Central Asia
2015,Luxembourg,LUX,33.299999,29.22,0.0446872375434927,0.0490856465953129,0.0004410599149973,0.0015928394920171,0.36875,6.45833333333333,569604.0,105462.012584423,0.474743161437779,32.9,Europe and Central Asia
2016,Luxembourg,LUX,32.299999,29.22,0.0434980259417574,0.0476746505501678,0.0004908548004176,0.0016750264392649,0.25425,6.33333333333333,582014.0,106899.293549552,0.290833333333317,31.7,Europe and Central Asia
2017,Luxembourg,LUX,32.099998,27.08,0.044402853599278,0.0498880980561675,0.0007495429163518,0.0015384540271634,0.544833333333333,5.61666666666667,596336.0,110193.213797228,1.73079959118887,34.5,Europe and Central Asia
2018,Luxembourg,LUX,30.4,26.01,0.046836584867185,0.0512832718940695,0.0007180499698907,0.0014889931272787,0.564666666666667,5.5,607950.0,116786.511654677,1.5281952430738,35.4,Europe and Central Asia
2019,Luxembourg,LUX,28.200001,24.94,0.0480752281431381,0.0517909788818393,0.0007859810705581,0.0015247103751054,-0.120583333333333,5.59166666666667,620001.0,112726.439672814,1.74332075653848,34.2,Europe and Central Asia
2004,Slovenia,SVN,37.099998,25.0,0.0002677400117197,0.0002719737170445,5.280718000316498e-07,2.672317235895034e-06,4.68333333333333,6.34166666666667,1997012.0,17103.8297783905,3.59297594249509,24.8,Europe and Central Asia
2005,Slovenia,SVN,37.5,25.0,0.0002732872132798,0.0002698486759029,4.89363631715538e-07,2.687891098095374e-06,3.80666666666667,6.54166666666667,2000474.0,17969.7095907161,2.45150132316475,24.6,Europe and Central Asia
2006,Slovenia,SVN,32.200001,25.0,0.0002653376654603,0.000264500314248,5.253445504318455e-07,2.670723691662402e-06,3.85333333333333,5.99166666666667,2006868.0,19563.005059144,2.45792444195865,24.4,Europe and Central Asia
2007,Slovenia,SVN,30.6,23.0,0.0588835720984937,0.0593655838299837,0.0001250826167821,0.0005621561999088,4.53075,4.85833333333333,2018122.0,23725.1596001515,3.65749563284099,24.4,Europe and Central Asia
2008,Slovenia,SVN,29.700001,22.0,0.0606559462820968,0.0618691817885693,0.0001205551769916,0.0007270404520114,4.60633333333333,4.39166666666667,2021316.0,27461.9764165315,5.64742380573935,23.7,Europe and Central Asia
2009,Slovenia,SVN,40.400002,21.0,0.0670345131162411,0.0700079700591249,0.0001163817857314,0.0007217345273416,4.375,5.85,2039669.0,24501.7897290425,0.839262246793887,24.8,Europe and Central Asia
2010,Slovenia,SVN,32.599998,20.0,0.0652218934082381,0.0690170958307767,0.0001594972513491,0.0006182945621867,3.8325,7.25833333333333,2048583.0,23329.8417691156,1.80117022137134,24.9,Europe and Central Asia
2011,Slovenia,SVN,36.700001,20.0,0.0643387063198187,0.0702051287669945,0.0001506162774926,0.0005195445961883,4.97091666666667,8.18333333333333,2052843.0,24940.6284841605,1.8028517194191,24.9,Europe and Central Asia
2012,Slovenia,SVN,26.799999,18.0,0.0644157951651795,0.0697356105200545,0.0001769932290071,0.0004817221374392,5.80833333333333,8.85,2057159.0,22442.1417859955,2.59741386039003,25.6,Europe and Central Asia
2013,Slovenia,SVN,26.200001,17.0,0.0649469398509219,0.0686346570446598,0.0002150312862197,0.0004727913699593,5.81166666666667,10.1083333333333,2059953.0,23236.9655321695,1.76920085881907,26.2,Europe and Central Asia
2014,Slovenia,SVN,29.4,17.0,0.0602863866978374,0.0653326781310949,0.0002393285813731,0.0004915358308021,3.27,9.7,2061980.0,24013.0682060959,0.19934382657075,25.7,Europe and Central Asia
2015,Slovenia,SVN,23.799999,17.0,0.0563224434755114,0.0672792469849306,0.0002395185251602,0.0003475876211111,1.705,8.98333333333333,2063531.0,20697.2748530619,-0.525552285820877,25.4,Europe and Central Asia
2000,Spain,ESP,17.5,35.0,0.0407477813175117,0.0514601532809626,0.0004138555119222,0.0041184800384205,5.525866059940146,11.9166666666667,40567864.0,14743.2671031455,3.43351563418767,34.1,Europe and Central Asia
2003,Spain,ESP,16.5,35.0,0.0402101452254515,0.0517165556016527,0.0004883621554212,0.0061643263903685,4.123043584752395,11.4916666666667,42187645.0,21522.0170990262,3.03888839396655,31.8,Europe and Central Asia
2004,Spain,ESP,16.0,35.0,0.0407960384113178,0.054547420583936,0.0005987961291027,0.0044148134023362,4.1041429449777285,10.9583333333333,42921895.0,24925.0267844576,3.03924881090925,33.3,Europe and Central Asia
2005,Spain,ESP,15.5,35.0,0.0395691514693096,0.0565248965114479,0.0006162982883715,0.0046362439420677,3.386349534945731,9.16666666666667,43653155.0,26450.9530130382,3.36881409750383,32.4,Europe and Central Asia
2006,Spain,ESP,15.6,35.0,0.0396148763751569,0.0564272181624234,0.0007751428889844,0.0040150212542388,3.784310065320305,8.45833333333334,44397319.0,28421.686527407,3.51557576832128,33.5,Europe and Central Asia
2007,Spain,ESP,16.4,32.5,0.0401989344256974,0.0568609454303832,0.0007127339006126,0.0042300014570211,4.306626640552206,8.225,45226803.0,32652.015594702,2.78679745804946,34.1,Europe and Central Asia
2008,Spain,ESP,17.4,30.0,0.0422731456844103,0.0605403296561048,0.0007775756181051,0.0055446085693327,4.363732246000475,11.2666666666667,45954106.0,35603.248328071,4.07534335957339,34.2,Europe and Central Asia
2009,Spain,ESP,18.299999,30.0,0.0462874770501121,0.0680276610220037,0.0010167848721796,0.0074427534273385,3.974298244169383,17.8666666666667,46362946.0,32279.8208476151,-0.28781308353524,34.9,Europe and Central Asia
2010,Spain,ESP,18.200001,30.0,0.0450199369629911,0.066049603349597,0.0011437643028561,0.0012802361799015,4.250000898780218,19.875,46576897.0,30658.7422282912,1.79986457728769,35.2,Europe and Central Asia
2011,Spain,ESP,17.9,30.0,0.0440913641935456,0.0648569744266348,0.0011930494343542,0.0009207534458074,5.43689422551768,21.4083333333333,46742697.0,31824.6219134777,3.1961018883379,35.7,Europe and Central Asia
2012,Spain,ESP,17.799999,30.0,0.0417881316339178,0.0624741786394123,0.0007809151669363,0.0008465545134773,5.846537217412216,24.7916666666667,46773055.0,28456.4438151477,2.44612782366809,35.4,Europe and Central Asia
2013,Spain,ESP,17.0,30.0,0.0410529107338555,0.0617538892333857,0.0006239933232714,0.000856040840363,4.561962038866931,26.1166666666667,46620045.0,29218.9105170888,1.40858109183019,36.2,Europe and Central Asia
2014,Spain,ESP,15.8,30.0,0.0409606246312371,0.0611184957105678,0.0004552677754153,0.0008855102608501,2.7218310821107443,24.45,46480882.0,29694.8874886229,-0.151114837527235,36.1,Europe and Central Asia
2015,Spain,ESP,14.4,28.0,0.0408329592535085,0.0611565321696386,0.0004065818425332,0.0006521867112128,1.7350872800826185,22.075,46444832.0,25969.8383138327,-0.500365709903242,36.2,Europe and Central Asia
2016,Spain,ESP,13.9,25.0,0.0403644986896332,0.0602982990595467,0.000381133194475,0.0005467658444104,1.393302220183199,19.65,46484062.0,26740.6851818829,-0.202598000426452,35.8,Europe and Central Asia
2017,Spain,ESP,13.4,25.0,0.0396932028744711,0.0592278448989084,0.0003880262285218,0.0005598175763915,1.5578658308595374,17.2333333333333,46593236.0,28367.9392609439,1.95607633363963,34.7,Europe and Central Asia
2018,Spain,ESP,13.0,25.0,0.0394002685857008,0.0595128502090271,0.0003019114459083,0.0006029979971557,1.4193522684345907,15.2666666666667,46797754.0,30592.1264795541,1.6749813686379,34.7,Europe and Central Asia
2019,Spain,ESP,12.5,25.0,0.0399231082148177,0.0605538760957468,0.0002975169696341,0.0003373986009523,0.661018326902566,14.1083333333333,47134837.0,29776.2011500384,0.699518994458739,34.3,Europe and Central Asia
2010,Switzerland,CHE,17.6,21.174438,0.0516506798606491,0.0183226473986741,0.0004369420105899,0.0006289217352765,1.6319166666666665,4.803625370376183,7824909.0,76531.3729407691,0.688238707220026,32.6,Europe and Central Asia
2011,Switzerland,CHE,17.0,21.174438,0.052046615551246,0.0190713404121237,0.0004311676810435,0.0005849729995376,1.4713333333333332,4.401668394045508,7912398.0,90476.7589651577,0.2313492076509,31.7,Europe and Central Asia
2012,Switzerland,CHE,16.5,21.174438,0.052985681224019,0.0204471377182078,0.0004055337354296,0.0006277989112421,0.6454166666666666,4.484188237313427,7996861.0,85836.2076767359,-0.692552018105253,31.6,Europe and Central Asia
2013,Switzerland,CHE,16.6,21.148581,0.0536308954798054,0.0211306193504472,0.0003054788196878,0.0005795344292892,0.9493333333333333,4.747292142222041,8089346.0,87304.3305813557,-0.217323155115693,32.5,Europe and Central Asia
2014,Switzerland,CHE,16.1,21.148581,0.0536904349338169,0.0209389201747006,0.0003035673411263,0.0006377378037944,0.6927500000000001,4.829987515398798,8188649.0,88724.9909402638,-0.0132025387514939,32.5,Europe and Central Asia
2015,Switzerland,CHE,15.7,21.148581,0.0546289241889308,0.0212564735646492,0.0002809404296978,0.0006530326831518,-0.0686666666666666,4.800638596252196,8282396.0,83806.4476003837,-1.14390867228183,32.3,Europe and Central Asia
2016,Switzerland,CHE,15.3,21.148581,0.0548596320140529,0.0215753868987544,0.0002468693841189,0.0005826672161563,-0.362,4.9191804927589455,8373338.0,82153.0745447889,-0.434618664285835,33.0,Europe and Central Asia
2017,Switzerland,CHE,14.9,21.148581,0.0549758009201572,0.0211159319427422,0.0002418785362857,0.0006400622023129,-0.0720833333333333,4.797587531576728,8451840.0,82254.3769269767,0.533787839825897,32.7,Europe and Central Asia
2018,Switzerland,CHE,14.4,21.148581,0.0541325099541699,0.0212316334824989,0.0002249243009839,0.000620243664246,0.0331666666666667,4.714413963724699,8514329.0,85217.3691512274,0.936335464113563,33.1,Europe and Central Asia
2004,Netherlands,NLD,21.299999,34.5,0.0519345414458589,0.0533736664578515,0.0031735998630479,0.0016855634127391,4.095,6.775,16281779.0,40611.3414353091,1.2636473918318,29.8,Europe and Central Asia
2005,Netherlands,NLD,22.1,31.5,0.0513901092344891,0.0533860522633326,0.0030969659496457,0.0015927770003723,3.373916666666668,6.95833333333333,16319868.0,42165.396168388,1.68813017869623,29.0,Europe and Central Asia
2006,Netherlands,NLD,21.4,29.6,0.0516764151136104,0.0661084290587693,0.0034879920469014,0.0014980151299528,3.7816666666666663,6.08333333333333,16346101.0,45123.5432406426,1.10150106517702,30.0,Europe and Central Asia
2007,Netherlands,NLD,20.200001,25.5,0.0512143229898441,0.0667865601541492,0.0035020673598009,0.0015880534703544,4.28775,5.30833333333333,16381696.0,52100.7996285947,1.61385859802103,29.6,Europe and Central Asia
2008,Netherlands,NLD,20.0,25.5,0.0525718602362355,0.0650945264770865,0.0033502277755685,0.0018793211719962,4.22775,4.75833333333333,16445593.0,58246.7026905874,2.48650198289454,29.3,Europe and Central Asia
2009,Netherlands,NLD,20.0,25.5,0.055924325542351,0.0735083857924728,0.0034355645195843,0.0022565232087061,3.686833333333334,5.425,16530388.0,53172.0261581418,1.1897768702155,27.9,Europe and Central Asia
2010,Netherlands,NLD,19.5,25.5,0.0559949737334039,0.0770968955961089,0.0034975475178144,0.0020528069024077,2.990083333333333,6.06666666666667,16615394.0,51305.7338533973,1.27530569556683,27.8,Europe and Central Asia
2011,Netherlands,NLD,19.299999,25.0,0.0543967878685334,0.0781219274618038,0.0035471858027203,0.0019450834053593,2.988583333333333,6.05,16693074.0,54701.7728030611,2.34107017751373,27.8,Europe and Central Asia
2012,Netherlands,NLD,18.799999,25.0,0.0547603276656255,0.0806265875861398,0.0035762466729056,0.0018033155483173,1.93225,6.81666666666667,16754962.0,50473.9442002689,2.45554765291604,27.6,Europe and Central Asia
2013,Netherlands,NLD,18.200001,25.0,0.0534191148299123,0.0797184956585894,0.0037501859316943,0.0016377013884402,1.9605833333333331,8.19166666666667,16804432.0,52602.2860520766,2.50689852657885,28.1,Europe and Central Asia
2014,Netherlands,NLD,18.1,25.0,0.0532044849379695,0.07881207202189,0.0041849204349369,0.0016282877044384,1.45466666666667,8.35,16865008.0,53457.2234864322,0.976035079699679,28.6,Europe and Central Asia
2015,Netherlands,NLD,17.700001,25.0,0.0519040297493474,0.0761769228018736,0.0044738441734901,0.0015446776558086,0.6903333333333332,7.89166666666667,16939923.0,45793.8135434697,0.600248147278776,28.2,Europe and Central Asia
2016,Netherlands,NLD,17.299999,25.0,0.0519123824070552,0.0713645988822181,0.0046516471690909,0.0014760301315652,0.2910833333333333,7.0,17030314.0,46808.5291492503,0.316666666666743,28.2,Europe and Central Asia
2017,Netherlands,NLD,16.799999,25.0,0.0504021383451801,0.0716670595489717,0.0045893980377194,0.0013118273555291,0.522083333333333,5.875,17131296.0,49513.6817346384,1.38145871407206,28.5,Europe and Central Asia
2018,Netherlands,NLD,16.5,25.0,0.0497171883196798,0.0722570188486065,0.0044584280167107,0.0013857962866756,0.576916666666667,4.86666666666667,17231624.0,53955.0770024266,1.7034979474447,28.1,Europe and Central Asia
2019,Netherlands,NLD,15.4,25.0,0.0488498578516611,0.072150374743752,0.0043024126049842,0.0015016263601709,-0.0701666666666666,4.43333333333333,17344874.0,53554.9007491475,2.63369910249601,29.2,Europe and Central Asia
2003,Portugal,PRT,21.1,33.0,0.0647936522763297,0.0699040852642634,0.0054440450547308,0.0021280520181244,4.17833333333333,7.80833333333333,10458821.0,15797.7821340276,3.21899090682895,38.8,Europe and Central Asia
2004,Portugal,PRT,21.6,27.5,0.0660184986654822,0.0726161383068293,0.0043787655735309,0.0027574019371554,4.14333333333333,8.16666666666666,10483861.0,18064.1580932987,2.36536204097302,38.9,Europe and Central Asia
2006,Portugal,PRT,21.1,27.5,0.0636418269697044,0.0699591434449755,0.0036483116139892,0.0019554858828167,3.915,9.3,10522288.0,19839.4540499032,3.1076654587105,38.1,Europe and Central Asia
2008,Portugal,PRT,20.700001,26.5,0.0596563042759228,0.0727220980449207,0.0029747723459414,0.0020788063586795,4.52,9.24166666666667,10558177.0,24949.0413566739,2.58850657657959,36.6,Europe and Central Asia
2009,Portugal,PRT,20.4,26.5,0.0650380328954008,0.0801370740416989,0.002883538217117,0.0022667773146025,4.21083333333333,11.225,10568247.0,23151.2154130712,-0.835530021504157,34.9,Europe and Central Asia
2010,Portugal,PRT,19.6,26.5,0.0671965218170862,0.0746786044023695,0.0024298851724136,0.0022866629455204,5.396666666666667,12.5833333333333,10573100.0,22551.935098809,1.40257289895369,35.8,Europe and Central Asia
2011,Portugal,PRT,18.6,28.5,0.0612235843123022,0.0694826389280587,0.0024265815037229,0.0021347224779391,10.240833333333333,13.533333333333331,10557560.0,23246.5425416481,3.65301100430724,36.3,Europe and Central Asia
2015,Portugal,PRT,16.1,29.5,0.050918401594571,0.0616516694666783,0.0024167091428448,0.0019155182053692,2.42333333333333,12.983333333333333,10358076.0,19215.7813014347,0.48793862390472,35.5,Europe and Central Asia
2016,Portugal,PRT,15.3,29.5,0.0477369580696354,0.0611153783913612,0.0023626903656236,0.0018257250377291,3.1725,11.475,10325452.0,19980.2808866516,0.607397074641719,35.2,Europe and Central Asia
2009,Colombia,COL,9.3999996,33.0,0.0402678368433763,0.0692074150467072,0.0021409903061843,1.4648679953236967e-05,9.469166666666666,12.2158333333333,44271541.0,5250.97292433518,4.20251661216482,54.3,Latin America and Caribbean
2010,Colombia,COL,9.1999998,33.0,0.0385123883395214,0.0705753777156931,0.0020651054093298,1.4320337830386368e-05,8.465833333333334,11.9675,44777319.0,6398.2958447102,2.27200227892008,54.6,Latin America and Caribbean
2011,Colombia,COL,9.1000004,33.0,0.0396671044604627,0.0716491632911861,0.0020825205416156,1.3973244938492064e-05,8.088333333333333,10.9916666666667,45259614.0,7400.9940695669,3.4150334477625,53.5,Latin America and Caribbean
2012,Colombia,COL,9.1000004,33.0,0.0385268271822508,0.0808377406538694,0.002073700165574,1.441731745020149e-05,6.8133333333333335,10.505,45715810.0,8108.59838244229,3.16930188840055,52.6,Latin America and Caribbean
2013,Colombia,COL,9.6999998,34.0,0.041533525745246,0.0856449230002254,0.0021793779297654,1.4517764492860173e-05,6.495,9.7425,46151584.0,8279.10255642981,2.01699224310383,52.6,Latin America and Caribbean
2014,Colombia,COL,9.6000004,34.0,0.0427509132877967,0.0999246824301384,0.0023902649432496,1.6028740219923093e-05,7.055833333333335,9.205,46565429.0,8187.20824890084,2.89883787761738,52.5,Latin America and Caribbean
2015,Colombia,COL,9.3999996,39.0,0.0449332166896102,0.0994548473325566,0.0024400516747261,1.6614284722136388e-05,7.854166666666667,8.95083333333334,46969940.0,6248.51490534512,4.9898311584953,51.0,Latin America and Caribbean
2016,Colombia,COL,9.5,40.0,0.0442573473399538,0.0956027794049888,0.0023062752685284,1.5354305831795526e-05,7.905833333333334,9.22666666666667,47437512.0,5959.84250367574,7.51346024627675,50.6,Latin America and Caribbean
2017,Colombia,COL,9.5,40.0,0.0471158243953775,0.1010456603126516,0.0023483345839818,1.5435412956007847e-05,6.771666666666667,9.29583333333333,48131078.0,6479.53231292429,4.31431325695011,49.7,Latin America and Caribbean
2004,Poland,POL,22.9,19.0,0.0562389965680477,0.0420114852670615,0.0010540477778475,0.0006625138360762,6.89666666666667,19.1416666666667,38182222.0,6711.72715262967,3.38264681884691,38.0,Europe and Central Asia
2005,Poland,POL,23.799999,19.0,0.0605863464254746,0.0439115100039868,0.001228237664325,0.0006644564413561,5.21833333333333,17.925,38165445.0,8043.92332253757,2.18379872390258,35.8,Europe and Central Asia
2006,Poland,POL,17.9,19.0,0.0591778205909808,0.0460668402827806,0.0009605216157005,0.0006288575078544,5.23166666666667,13.9666666666667,38141267.0,9068.85528307627,1.28469394366408,34.7,Europe and Central Asia
2007,Poland,POL,16.700001,19.0,0.0568457160152341,0.0447735469930974,0.0008810943056758,0.0007793649058792,5.48433333333333,9.60833333333334,38120560.0,11272.5293683383,2.45874312385402,34.0,Europe and Central Asia
2008,Poland,POL,15.7,19.0,0.056154636614696,0.0494327879747574,0.0006556011009209,0.0015212115379524,6.07166666666667,7.04166666666667,38125759.0,14048.5604672654,4.16497193524764,33.5,Europe and Central Asia
2009,Poland,POL,15.4,19.0,0.0539696374436876,0.049903177954443,0.0005917229217456,0.0009617314809207,6.12059848483333,8.125,38151603.0,11556.3026866026,3.79539242483406,33.4,Europe and Central Asia
2010,Poland,POL,17.4,19.0,0.0555883883050671,0.0498737072104879,0.0006062497832344,0.0007116845281448,5.78166666666667,9.98333333333333,38042794.0,12567.7317676382,2.58069370250543,33.2,Europe and Central Asia
2011,Poland,POL,17.299999,19.0,0.054317478905084,0.0467813595113852,0.0005690774020356,0.0005160061386997,5.95558333333333,9.95,38063255.0,13867.6669408192,4.2394014962594,33.2,Europe and Central Asia
2012,Poland,POL,16.6,19.0,0.0539044168199344,0.0462945773116425,0.0006984162140862,0.0005134869429248,4.99928333333333,10.3916666666667,38063164.0,13087.420943321,3.56037151702783,33.0,Europe and Central Asia
2014,Poland,POL,16.5,19.0,0.0528638770385101,0.0466496480966226,0.0005783000695862,0.000504623822096,3.51621117375,9.20833333333334,38011735.0,14262.2841914116,0.0538213132399802,32.8,Europe and Central Asia
2016,Poland,POL,14.1,19.0,0.0495572037981618,0.0461949184330163,0.0004519389483123,0.0004542433921374,3.03568922308333,6.28333333333333,37970087.0,12464.0110508476,-0.664767331433961,31.2,Europe and Central Asia
2017,Poland,POL,13.4,19.0,0.048813522992945,0.0466635016592139,0.0003903625535562,0.000481326458453,3.42,4.95833333333333,37974826.0,13913.3402919927,2.0759355367385,29.7,Europe and Central Asia
2000,Norway,NOR,53.599998,28.0,0.0520117712866077,0.0684721487792583,0.0014458574006265,0.0015624801790455,6.21833333333333,3.24166666666667,4490967.0,38178.2368777076,3.08550609131276,27.4,Europe and Central Asia
2003,Norway,NOR,51.799999,28.0,0.0611182020383921,0.0812432089254672,0.0012887146830242,0.0011600279325454,5.045,4.20833333333333,4564855.0,50250.3298214345,2.48782553461783,27.6,Europe and Central Asia
2004,Norway,NOR,51.599998,28.0,0.056378952388076,0.0767510519942065,0.0014814343871922,0.0009769973100886,4.36833333333333,4.275,4591910.0,57768.6980958462,0.45449850222084,31.6,Europe and Central Asia
2005,Norway,NOR,51.200001,28.0,0.0519084022980045,0.0724087735980856,0.0013319733184713,0.0009228672277979,3.74583333333333,4.525,4623291.0,67047.1704558264,1.53213367609254,30.6,Europe and Central Asia
2006,Norway,NOR,51.099998,28.0,0.0489935971325735,0.0686948616902736,0.0012611901614971,0.0010391559705564,4.07666666666667,3.6,4660677.0,74434.4996835671,2.32934980757544,26.4,Europe and Central Asia
2007,Norway,NOR,50.099998,28.0,0.0483725561036843,0.0684745781571953,0.0015312517431369,1.2710999527976817e-06,4.77416666666667,2.71666666666667,4709153.0,85502.2677087731,0.712589073634201,27.1,Europe and Central Asia
2008,Norway,NOR,49.799999,28.0,0.04647624931592,0.0653448430382112,0.0014663623345098,7.627372351156602e-07,4.45833333333333,2.93333333333333,4768212.0,97503.5407803783,3.75393081761005,27.0,Europe and Central Asia
2009,Norway,NOR,50.299999,28.0,0.0539073066170271,0.0743284612051362,0.0017481478928643,4.098822726528266e-07,3.99833333333333,3.45833333333333,4828726.0,80347.5700665184,2.19738586853574,26.2,Europe and Central Asia
2010,Norway,NOR,50.5,28.0,0.0523223166475458,0.0731245041455068,0.001814342865894,0.0,3.52833333333333,3.95833333333333,4889252.0,88163.2085931423,2.41890639481001,25.7,Europe and Central Asia
2011,Norway,NOR,49.900002,28.0,0.049867808047819,0.0709775940957939,0.0017441721837099,0.0,3.135,3.56666666666667,4953088.0,101221.813476644,1.28495158809152,25.3,Europe and Central Asia
2012,Norway,NOR,49.900002,28.0,0.0485450953074705,0.070881725678342,0.0016137672380444,0.0,2.10166666666667,3.48333333333333,5018573.0,102175.919298374,0.696864111498362,25.7,Europe and Central Asia
2013,Norway,NOR,49.799999,28.0,0.0487684992080146,0.073234455164246,0.0015593778668008,0.0,2.5775,3.93333333333333,5079623.0,103553.840134417,2.12048620353112,26.4,Europe and Central Asia
2014,Norway,NOR,50.099998,27.0,0.0508989251610487,0.0768084140052932,0.0012309537424536,0.0,2.515,3.775,5137232.0,97666.6951838749,2.04170286707211,26.8,Europe and Central Asia
2015,Norway,NOR,49.799999,27.0,0.0543428291572729,0.0818578338710549,0.0012213343437108,0.0,1.565,4.69166666666667,5188607.0,74809.9658049898,2.17113665389527,27.5,Europe and Central Asia
2016,Norway,NOR,50.0,25.0,0.056196095358364,0.0856248405425483,0.0013854144770517,0.0,1.33166666666667,4.90833333333333,5234519.0,70867.3609970749,3.54999999999998,28.5,Europe and Central Asia
2017,Norway,NOR,50.0,24.0,0.0553284084182765,0.0834012668280219,0.0012407078564823,0.0,1.6375,4.36666666666667,5276968.0,76131.8384032764,1.87510059552554,27.0,Europe and Central Asia
