TIME_PERIOD,Reference area,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,Housing spending,Community development spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Gini index,Region
2011,Ireland,IRL,31.6,12.5,0.0520590258916485,0.0786460998869904,0.0063832578910995,0.0018005524820357,9.601666666666668,15.4083333333333,4580084.0,52692.7813135606,2.5489783020855,32.9,Europe and Central Asia
2012,Ireland,IRL,30.1,12.5,0.0501674387662917,0.0760825052466702,0.0059499601068151,0.0009968703054942,6.171666666666667,15.4833333333333,4599533.0,49411.7387476787,1.69474116680366,33.2,Europe and Central Asia
2013,Ireland,IRL,28.5,12.5,0.0460721364910137,0.0714364086083775,0.0056697667898593,0.0009111169919852,3.79,13.775,4623816.0,52619.2123745817,0.515099484900573,33.5,Europe and Central Asia
2014,Ireland,IRL,26.299999,12.5,0.0440230348156998,0.0654776557016261,0.0048077795229763,0.0007032228446019,2.3675,11.8833333333333,4657740.0,57278.2590911107,0.190916398713745,31.9,Europe and Central Asia
2015,Ireland,IRL,25.4,12.5,0.0330090542010318,0.0501266742630582,0.0043302316126478,0.0006389419690441,1.1825,9.925,4701957.0,64311.8234684057,-0.330959783371788,31.8,Europe and Central Asia
2016,Ireland,IRL,23.4,12.5,0.0338284991330153,0.0510779877744031,0.005173278921166,0.0009869087901242,0.7358333333333333,8.40833333333333,4755335.0,64292.659966313,0.0201247735963237,32.8,Europe and Central Asia
2017,Ireland,IRL,24.299999,12.5,0.0320332894689356,0.0480448454384063,0.0066972360988756,0.0008782171184466,0.8016666666666667,6.749999999999999,4807388.0,72499.3268743015,0.362173038229378,31.4,Europe and Central Asia
2018,Ireland,IRL,24.1,12.5,0.0310110545226284,0.0472523691875089,0.0070580225271111,0.0012425875182594,0.9518416666666668,5.8,4867316.0,81248.3135388,0.471130713712916,30.6,Europe and Central Asia
2019,Ireland,IRL,25.1,12.5,0.03136463026945,0.0467377819509298,0.0087375830975253,0.0012004676516904,0.3310583333333333,5.008333333333333,4934340.0,82508.4659883582,0.937842961189274,30.8,Europe and Central Asia
2020,Ireland,IRL,26.200001,12.5,0.0314951984323029,0.0538586472122729,0.0082486159880801,0.0011326318754963,-0.0610416666666666,5.858333333333333,4985382.0,87567.1148972037,-0.326183651280033,29.2,Europe and Central Asia
2002,Italy,ITA,33.700001,40.25,0.044542018969367,0.0619746351646152,0.0001158225135801,0.0027627726965465,5.0343333333333335,8.475,57059007.0,22463.5222129968,2.46532319171165,34.7,Europe and Central Asia
2003,Italy,ITA,33.599998,38.25,0.0457352010095872,0.062120101244405,0.0001279132419504,0.0028591110672824,4.248083333333334,8.43333333333333,57313203.0,27618.9417740066,2.6725555277285,34.9,Europe and Central Asia
2004,Italy,ITA,34.0,37.25,0.043521961206189,0.0654054238764679,0.000142724201537,0.002964958052122,4.2588333333333335,8.05,57685327.0,31425.8208728669,2.20673661423657,34.3,Europe and Central Asia
2005,Italy,ITA,33.799999,37.25,0.0447967480705228,0.0678352509960965,0.0001560964572041,0.0029084639034613,3.55525,7.78333333333333,57969484.0,32171.793374715,1.9852929852798,33.8,Europe and Central Asia
2006,Italy,ITA,33.599998,37.25,0.043906257993484,0.0684905775772015,0.0001807849683324,0.0028496070363048,4.0464166666666666,6.86666666666667,58143979.0,33684.7200358552,2.09084391012754,33.7,Europe and Central Asia
2007,Italy,ITA,34.0,37.25,0.0446289405440973,0.066379131468579,0.000215204340838,0.0029259157515086,4.48725,6.15,58438310.0,38031.9709472716,1.82974112202403,32.9,Europe and Central Asia
2008,Italy,ITA,33.900002,31.4,0.0432735209939801,0.0697004864822376,0.0002956710113676,0.0029451509589109,4.681333333333334,6.775,58826731.0,41095.4063415012,3.34783258401022,33.8,Europe and Central Asia
2009,Italy,ITA,34.700001,31.4,0.0457691362728827,0.0739426154852692,0.0003440424597634,0.0032339991217763,4.311166666666666,7.875,59095365.0,37388.4537139699,0.774768131387381,33.8,Europe and Central Asia
2010,Italy,ITA,35.299999,31.4,0.0439401915281788,0.0736236535154774,0.000351062678471,0.0033987564593524,4.035833333333333,8.54166666666667,59277417.0,36184.7118698678,1.52551602118248,34.7,Europe and Central Asia
2011,Italy,ITA,35.200001,31.4,0.0410778645729947,0.0705820369259061,0.0003493503109941,0.0028104900666855,5.422833333333334,8.50833333333333,59379449.0,38851.3881339353,2.78063272879323,35.1,Europe and Central Asia
2012,Italy,ITA,35.5,31.29275,0.0408119059451643,0.0705420453261485,0.0003349871409643,0.0024882134437627,5.492750000000001,10.8833333333333,59539717.0,35235.7989058242,3.04136333226775,35.2,Europe and Central Asia
2013,Italy,ITA,35.700001,31.29275,0.0411990496038055,0.0704661502002736,0.000339858975179,0.0023999841604746,4.316416666666665,12.3666666666667,60233948.0,35747.707952689,1.21999342274306,34.9,Europe and Central Asia
2014,Italy,ITA,35.400002,31.29275,0.0408471769804293,0.0704585026188181,0.0004535810807052,0.0020001580809534,2.893166666666666,12.825,60789140.0,35750.7197500382,0.241047429826756,34.7,Europe and Central Asia
2015,Italy,ITA,34.200001,31.29275,0.0403936756922791,0.0696089414293235,0.0005266709221196,0.0019124888165097,1.7139166666666668,12.0,60730582.0,30387.1293187854,0.0387903996579733,35.4,Europe and Central Asia
2016,Italy,ITA,33.599998,31.29275,0.0394836117311219,0.0683435739789762,0.0004475449461529,0.0016535114065599,1.4863333333333333,11.75,60627498.0,31126.3246947273,-0.09401665691575,35.2,Europe and Central Asia
2017,Italy,ITA,33.200001,27.8064,0.039642348808508,0.0676127677210519,0.0003938106945685,0.0013843563717366,2.113,11.2583333333333,60536709.0,32554.14668453,1.22653316645812,35.9,Europe and Central Asia
2018,Italy,ITA,32.599998,27.8064,0.0395443799457326,0.0672346373303145,0.0003060057452578,0.0013669006635599,2.6103333333333336,10.6,60421760.0,34746.3441392416,1.13748763600391,35.2,Europe and Central Asia
2019,Italy,ITA,32.5,27.8064,0.0395593444766006,0.0671122599229682,0.0003353534359148,0.0016551493547799,1.9515,9.93333333333333,59729081.0,33812.788724868,0.611246943765304,34.6,Europe and Central Asia
