,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
69,IRL,2019,4934340.0,82508.4659883582,0.937842961189274
70,IRL,2018,4867316.0,81248.3135388,0.471130713712916
71,IRL,2017,4807388.0,72499.3268743015,0.362173038229378
72,IRL,2016,4755335.0,64292.659966313,0.0201247735963237
73,IRL,2015,4701957.0,64311.8234684057,-0.330959783371788
74,IRL,2014,4657740.0,57278.2590911107,0.190916398713745
75,IRL,2013,4623816.0,52619.2123745817,0.515099484900573
76,IRL,2012,4599533.0,49411.7387476787,1.69474116680366
77,IRL,2011,4580084.0,52692.7813135606,2.5489783020855
78,IRL,2010,4560155.0,48679.4026820361,-0.918388645376774
79,IRL,2009,4535375.0,52133.0909237885,-4.44754686876746
80,IRL,2008,4489544.0,61353.1065629523,4.03568834941391
81,IRL,2007,4398942.0,61396.417461176,4.88574537540802
82,IRL,2006,4273591.0,54329.1618599624,3.93576114001354
83,IRL,2005,4159914.0,50933.0216095589,2.45654692931639
84,IRL,2004,4070262.0,47754.2023194244,2.17854605730523
85,IRL,2003,3996521.0,41203.5295847568,3.49221909079765
86,IRL,2002,3931947.0,32705.4345565698,4.62820512820515
87,IRL,2001,3866243.0,28282.409882073,4.85280279607477
88,IRL,2000,3805174.0,26334.5672050501,5.57763269940387
89,IRL,1999,3754786.0,26338.1077543817,1.62988605221407
90,IRL,1998,3712696.0,24294.8547674007,2.40768094534715
91,IRL,1997,3674171.0,22551.1139134126,1.5418020226137
