TIME_PERIOD,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,OBS_VALUE
2009,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.99166666666667
2007,BEL,A,UNEMP,PT_LF,_T,Y,_Z,7.48333333333333
2024,BEL,A,IRLT,PA,_Z,_Z,_Z,2.9249999999999994
2023,BEL,A,IRLT,PA,_Z,_Z,_Z,3.08916666666667
2022,BEL,A,IRLT,PA,_Z,_Z,_Z,1.73333333333333
2021,BEL,A,IRLT,PA,_Z,_Z,_Z,-0.0141666666666667
2020,BEL,A,IRLT,PA,_Z,_Z,_Z,-0.148333333333333
2019,BEL,A,IRLT,PA,_Z,_Z,_Z,0.193333333333333
2018,BEL,A,IRLT,PA,_Z,_Z,_Z,0.795
2017,BEL,A,IRLT,PA,_Z,_Z,_Z,0.7225
2016,BEL,A,IRLT,PA,_Z,_Z,_Z,0.475833333333333
2015,BEL,A,IRLT,PA,_Z,_Z,_Z,0.84
2014,BEL,A,IRLT,PA,_Z,_Z,_Z,1.71333333333333
2013,BEL,A,IRLT,PA,_Z,_Z,_Z,2.41
2012,BEL,A,IRLT,PA,_Z,_Z,_Z,3
2011,BEL,A,IRLT,PA,_Z,_Z,_Z,4.23333333333333
2003,FIN,A,UNEMP,PT_LF,_T,Y,_Z,9.00833333333333
2002,FIN,A,UNEMP,PT_LF,_T,Y,_Z,9.075
2001,FIN,A,UNEMP,PT_LF,_T,Y,_Z,9.125
2000,FIN,A,UNEMP,PT_LF,_T,Y,_Z,9.78333333333333
2022,FIN,A,UNEMP,PT_LF,_T,Y,_Z,6.76666666666667
2021,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.675
2020,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.725
2019,FIN,A,UNEMP,PT_LF,_T,Y,_Z,6.74166666666667
2018,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.43333333333334
2017,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.76666666666667
2016,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.91666666666667
2015,FIN,A,UNEMP,PT_LF,_T,Y,_Z,9.45833333333334
2014,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.75
2013,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.3
2012,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.80833333333334
2011,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.96666666666667
2010,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.54166666666666
2009,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.36666666666667
2007,FIN,A,UNEMP,PT_LF,_T,Y,_Z,6.86666666666667
2024,FIN,A,IRLT,PA,_Z,_Z,_Z,2.852967731333333
2023,FIN,A,IRLT,PA,_Z,_Z,_Z,3.0374999999999996
2022,FIN,A,IRLT,PA,_Z,_Z,_Z,1.65530769533333
2021,FIN,A,IRLT,PA,_Z,_Z,_Z,-0.09507603675
2020,FIN,A,IRLT,PA,_Z,_Z,_Z,-0.219166666666667
2019,FIN,A,IRLT,PA,_Z,_Z,_Z,0.07
2018,FIN,A,IRLT,PA,_Z,_Z,_Z,0.661666666666667
2017,FIN,A,IRLT,PA,_Z,_Z,_Z,0.546666666666667
2016,FIN,A,IRLT,PA,_Z,_Z,_Z,0.365
2015,FIN,A,IRLT,PA,_Z,_Z,_Z,0.723333333333334
2014,FIN,A,IRLT,PA,_Z,_Z,_Z,1.44833333333333
2013,FIN,A,IRLT,PA,_Z,_Z,_Z,1.86083333333333
2012,FIN,A,IRLT,PA,_Z,_Z,_Z,1.88333333333333
2011,FIN,A,IRLT,PA,_Z,_Z,_Z,3.00583333333333
2010,FIN,A,IRLT,PA,_Z,_Z,_Z,3.01083333333333
2009,FIN,A,IRLT,PA,_Z,_Z,_Z,3.73833333333333
2008,FIN,A,IRLT,PA,_Z,_Z,_Z,4.29
2007,FIN,A,IRLT,PA,_Z,_Z,_Z,4.29333333333333
2006,FIN,A,IRLT,PA,_Z,_Z,_Z,3.7825
2005,FIN,A,IRLT,PA,_Z,_Z,_Z,3.35083333333333
2004,FIN,A,IRLT,PA,_Z,_Z,_Z,4.10916666666667
2003,FIN,A,IRLT,PA,_Z,_Z,_Z,4.135
2002,FIN,A,IRLT,PA,_Z,_Z,_Z,4.98083333333333
2000,FRA,A,IRLT,PA,_Z,_Z,_Z,5.394166666666667
2024,FRA,A,UNEMP,PT_LF,_T,Y,_Z,7.391666666666667
2023,FRA,A,UNEMP,PT_LF,_T,Y,_Z,7.35
2006,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.85
2005,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.891666666666666
2004,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.875
2003,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.508333333333333
2001,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.74166666666667
2000,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.55833333333334
2022,FRA,A,UNEMP,PT_LF,_T,Y,_Z,7.316666666666667
2021,FRA,A,UNEMP,PT_LF,_T,Y,_Z,7.875
2020,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.03333333333333
2019,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.441666666666666
2018,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.016666666666667
2017,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.416666666666666
2016,FRA,A,UNEMP,PT_LF,_T,Y,_Z,10.058333333333334
2015,FRA,A,UNEMP,PT_LF,_T,Y,_Z,10.358333333333334
2014,FRA,A,UNEMP,PT_LF,_T,Y,_Z,10.266666666666666
2013,FRA,A,UNEMP,PT_LF,_T,Y,_Z,10.3
2012,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.758333333333333
2011,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.2
2010,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.283333333333331
2009,FRA,A,UNEMP,PT_LF,_T,Y,_Z,9.125
2008,FRA,A,UNEMP,PT_LF,_T,Y,_Z,7.441666666666667
2007,FRA,A,UNEMP,PT_LF,_T,Y,_Z,8.025
2024,FRA,A,IRLT,PA,_Z,_Z,_Z,2.9691666666666667
2023,FRA,A,IRLT,PA,_Z,_Z,_Z,2.9941666666666666
2022,FRA,A,IRLT,PA,_Z,_Z,_Z,1.7008333333333334
2021,FRA,A,IRLT,PA,_Z,_Z,_Z,0.006666666666666662
2020,FRA,A,IRLT,PA,_Z,_Z,_Z,-0.14500000000000002
2019,FRA,A,IRLT,PA,_Z,_Z,_Z,0.13083333333333336
2018,FRA,A,IRLT,PA,_Z,_Z,_Z,0.7833333333333333
2017,FRA,A,IRLT,PA,_Z,_Z,_Z,0.8091666666666667
2016,FRA,A,IRLT,PA,_Z,_Z,_Z,0.4666666666666666
2015,FRA,A,IRLT,PA,_Z,_Z,_Z,0.8425000000000001
2014,FRA,A,IRLT,PA,_Z,_Z,_Z,1.666666666666667
2013,FRA,A,IRLT,PA,_Z,_Z,_Z,2.204166666666667
2012,FRA,A,IRLT,PA,_Z,_Z,_Z,2.536666666666667
2011,FRA,A,IRLT,PA,_Z,_Z,_Z,3.319999999999999
2010,FRA,A,IRLT,PA,_Z,_Z,_Z,3.1183333333333336
2009,FRA,A,IRLT,PA,_Z,_Z,_Z,3.6500000000000004
2008,FRA,A,IRLT,PA,_Z,_Z,_Z,4.234166666666666
2007,FRA,A,IRLT,PA,_Z,_Z,_Z,4.304166666666666
2006,FRA,A,IRLT,PA,_Z,_Z,_Z,3.7966666666666673
2005,FRA,A,IRLT,PA,_Z,_Z,_Z,3.41
2004,FRA,A,IRLT,PA,_Z,_Z,_Z,4.098333333333334
2003,FRA,A,IRLT,PA,_Z,_Z,_Z,4.13
2002,FRA,A,IRLT,PA,_Z,_Z,_Z,4.86
2000,DEU,A,IRLT,PA,_Z,_Z,_Z,5.263958654596528
2024,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.408333333333333
2023,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.025
2006,DEU,A,UNEMP,PT_LF,_T,Y,_Z,10.275
2005,DEU,A,UNEMP,PT_LF,_T,Y,_Z,11.2833333333333
2004,DEU,A,UNEMP,PT_LF,_T,Y,_Z,10.5
2003,DEU,A,UNEMP,PT_LF,_T,Y,_Z,9.80833333333333
2002,DEU,A,UNEMP,PT_LF,_T,Y,_Z,8.68333333333333
2001,DEU,A,UNEMP,PT_LF,_T,Y,_Z,7.85833333333333
2000,DEU,A,UNEMP,PT_LF,_T,Y,_Z,8.00833333333333
2022,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.06666666666667
2021,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.575
2020,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.625
2019,DEU,A,UNEMP,PT_LF,_T,Y,_Z,2.975
2018,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.20833333333333
2017,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.56666666666667
2016,DEU,A,UNEMP,PT_LF,_T,Y,_Z,3.90833333333333
2015,DEU,A,UNEMP,PT_LF,_T,Y,_Z,4.36666666666667
2014,DEU,A,UNEMP,PT_LF,_T,Y,_Z,4.70833333333333
2013,DEU,A,UNEMP,PT_LF,_T,Y,_Z,4.95
2012,DEU,A,UNEMP,PT_LF,_T,Y,_Z,5.08333333333333
2011,DEU,A,UNEMP,PT_LF,_T,Y,_Z,5.51666666666667
2010,DEU,A,UNEMP,PT_LF,_T,Y,_Z,6.575
2009,DEU,A,UNEMP,PT_LF,_T,Y,_Z,7.225
2020,COL,A,IRLT,PA,_Z,_Z,_Z,6.33333333333334
2019,COL,A,IRLT,PA,_Z,_Z,_Z,6.4975
2018,COL,A,IRLT,PA,_Z,_Z,_Z,6.995833333333333
2017,COL,A,IRLT,PA,_Z,_Z,_Z,6.771666666666667
2016,COL,A,IRLT,PA,_Z,_Z,_Z,7.905833333333334
2015,COL,A,IRLT,PA,_Z,_Z,_Z,7.854166666666667
2014,COL,A,IRLT,PA,_Z,_Z,_Z,7.055833333333335
2013,COL,A,IRLT,PA,_Z,_Z,_Z,6.495
2012,COL,A,IRLT,PA,_Z,_Z,_Z,6.8133333333333335
2011,COL,A,IRLT,PA,_Z,_Z,_Z,8.088333333333333
2010,COL,A,IRLT,PA,_Z,_Z,_Z,8.465833333333334
2024,COL,A,UNEMP,PT_LF,_T,Y,_Z,10.165833333333332
2023,COL,A,UNEMP,PT_LF,_T,Y,_Z,10.164166666666668
2022,COL,A,UNEMP,PT_LF,_T,Y,_Z,11.218333333333334
2021,COL,A,UNEMP,PT_LF,_T,Y,_Z,13.810833333333333
2020,COL,A,UNEMP,PT_LF,_T,Y,_Z,15.8641666666667
2019,COL,A,UNEMP,PT_LF,_T,Y,_Z,10.3708333333333
2018,COL,A,UNEMP,PT_LF,_T,Y,_Z,9.52916666666667
2017,COL,A,UNEMP,PT_LF,_T,Y,_Z,9.29583333333333
2016,COL,A,UNEMP,PT_LF,_T,Y,_Z,9.22666666666667
2015,COL,A,UNEMP,PT_LF,_T,Y,_Z,8.95083333333334
2014,COL,A,UNEMP,PT_LF,_T,Y,_Z,9.205
2013,COL,A,UNEMP,PT_LF,_T,Y,_Z,9.7425
2012,COL,A,UNEMP,PT_LF,_T,Y,_Z,10.505
2021,CRI,A,IRLT,PA,_Z,_Z,_Z,7.933333333333333
2017,GRC,A,UNEMP,PT_LF,_T,Y,_Z,21.8416666666667
2016,GRC,A,UNEMP,PT_LF,_T,Y,_Z,23.875
2015,GRC,A,UNEMP,PT_LF,_T,Y,_Z,24.9833333333333
2014,GRC,A,UNEMP,PT_LF,_T,Y,_Z,26.65
2013,GRC,A,UNEMP,PT_LF,_T,Y,_Z,27.825
2012,GRC,A,UNEMP,PT_LF,_T,Y,_Z,24.8083333333333
2011,GRC,A,UNEMP,PT_LF,_T,Y,_Z,18.0916666666667
2010,GRC,A,UNEMP,PT_LF,_T,Y,_Z,12.9583333333333
2009,GRC,A,UNEMP,PT_LF,_T,Y,_Z,9.75
2008,GRC,A,UNEMP,PT_LF,_T,Y,_Z,7.76666666666667
2007,GRC,A,UNEMP,PT_LF,_T,Y,_Z,8.41666666666666
2024,GRC,A,IRLT,PA,_Z,_Z,_Z,3.349999999999999
2023,GRC,A,IRLT,PA,_Z,_Z,_Z,4.001666666666667
2022,GRC,A,IRLT,PA,_Z,_Z,_Z,3.48666666666667
2021,GRC,A,IRLT,PA,_Z,_Z,_Z,0.8841666666666669
2020,GRC,A,IRLT,PA,_Z,_Z,_Z,1.27166666666667
2019,GRC,A,IRLT,PA,_Z,_Z,_Z,2.58583333333333
2018,GRC,A,IRLT,PA,_Z,_Z,_Z,4.185
2017,GRC,A,IRLT,PA,_Z,_Z,_Z,5.97833333333333
2016,GRC,A,IRLT,PA,_Z,_Z,_Z,8.36
2015,GRC,A,IRLT,PA,_Z,_Z,_Z,9.666363636363638
2014,GRC,A,IRLT,PA,_Z,_Z,_Z,6.92916666666667
2013,GRC,A,IRLT,PA,_Z,_Z,_Z,10.0541666666667
2012,GRC,A,IRLT,PA,_Z,_Z,_Z,22.4975
2011,GRC,A,IRLT,PA,_Z,_Z,_Z,15.7491666666667
2010,GRC,A,IRLT,PA,_Z,_Z,_Z,9.09166666666667
2009,GRC,A,IRLT,PA,_Z,_Z,_Z,5.174166666666666
2008,GRC,A,IRLT,PA,_Z,_Z,_Z,4.802499999999999
2007,GRC,A,IRLT,PA,_Z,_Z,_Z,4.5
2006,GRC,A,IRLT,PA,_Z,_Z,_Z,4.07
2005,GRC,A,IRLT,PA,_Z,_Z,_Z,3.585
2004,GRC,A,IRLT,PA,_Z,_Z,_Z,4.255833333333333
2003,GRC,A,IRLT,PA,_Z,_Z,_Z,4.2675
2002,GRC,A,IRLT,PA,_Z,_Z,_Z,5.121666666666666
2000,HUN,A,UNEMP,PT_LF,_T,Y,_Z,6.26666666666667
2024,HUN,A,IRLT,PA,_Z,_Z,_Z,6.500833333333333
2023,HUN,A,IRLT,PA,_Z,_Z,_Z,7.512500000000002
2006,HUN,A,IRLT,PA,_Z,_Z,_Z,7.11583333333333
2005,HUN,A,IRLT,PA,_Z,_Z,_Z,6.59833333333333
2004,HUN,A,IRLT,PA,_Z,_Z,_Z,8.29166666666666
2003,HUN,A,IRLT,PA,_Z,_Z,_Z,6.77333333333333
2002,HUN,A,IRLT,PA,_Z,_Z,_Z,7.08583333333333
2001,HUN,A,IRLT,PA,_Z,_Z,_Z,7.945
2000,HUN,A,IRLT,PA,_Z,_Z,_Z,8.55
2022,HUN,A,IRLT,PA,_Z,_Z,_Z,7.57083333333333
2021,HUN,A,IRLT,PA,_Z,_Z,_Z,3.06083333333333
2020,HUN,A,IRLT,PA,_Z,_Z,_Z,2.225
2019,HUN,A,IRLT,PA,_Z,_Z,_Z,2.465
2018,HUN,A,IRLT,PA,_Z,_Z,_Z,3.05833333333333
2017,HUN,A,IRLT,PA,_Z,_Z,_Z,2.9625
2016,HUN,A,IRLT,PA,_Z,_Z,_Z,3.14333333333333
2015,HUN,A,IRLT,PA,_Z,_Z,_Z,3.4325
2014,HUN,A,IRLT,PA,_Z,_Z,_Z,4.80916666666667
2013,HUN,A,IRLT,PA,_Z,_Z,_Z,5.92333333333333
2012,HUN,A,IRLT,PA,_Z,_Z,_Z,7.89083333333333
2011,HUN,A,IRLT,PA,_Z,_Z,_Z,7.63540873
2010,HUN,A,IRLT,PA,_Z,_Z,_Z,7.28166666666667
2009,HUN,A,IRLT,PA,_Z,_Z,_Z,9.12333333333333
2008,HUN,A,IRLT,PA,_Z,_Z,_Z,8.23833333333333
2007,HUN,A,IRLT,PA,_Z,_Z,_Z,6.74416666666667
2024,HUN,A,UNEMP,PT_LF,_T,Y,_Z,4.391666666666667
2023,HUN,A,UNEMP,PT_LF,_T,Y,_Z,4.083333333333333
2022,HUN,A,UNEMP,PT_LF,_T,Y,_Z,3.6666666666666665
2021,HUN,A,UNEMP,PT_LF,_T,Y,_Z,4.05
2020,HUN,A,UNEMP,PT_LF,_T,Y,_Z,4.125
2019,HUN,A,UNEMP,PT_LF,_T,Y,_Z,3.2583333333333333
2018,HUN,A,UNEMP,PT_LF,_T,Y,_Z,3.4916666666666663
2017,HUN,A,UNEMP,PT_LF,_T,Y,_Z,4.05
2016,HUN,A,UNEMP,PT_LF,_T,Y,_Z,4.88333333333333
2015,HUN,A,UNEMP,PT_LF,_T,Y,_Z,6.51666666666667
2014,HUN,A,UNEMP,PT_LF,_T,Y,_Z,7.45833333333333
2013,HUN,A,UNEMP,PT_LF,_T,Y,_Z,9.63333333333333
2012,HUN,A,UNEMP,PT_LF,_T,Y,_Z,10.5833333333333
2011,HUN,A,UNEMP,PT_LF,_T,Y,_Z,10.6583333333333
2010,HUN,A,UNEMP,PT_LF,_T,Y,_Z,10.8
2009,HUN,A,UNEMP,PT_LF,_T,Y,_Z,9.675
2007,HUN,A,UNEMP,PT_LF,_T,Y,_Z,7.39166666666667
2006,HUN,A,UNEMP,PT_LF,_T,Y,_Z,7.45833333333333
2005,HUN,A,UNEMP,PT_LF,_T,Y,_Z,7.175
2004,HUN,A,UNEMP,PT_LF,_T,Y,_Z,6.06666666666667
2003,HUN,A,UNEMP,PT_LF,_T,Y,_Z,5.74166666666667
2002,HUN,A,UNEMP,PT_LF,_T,Y,_Z,5.58333333333333
2003,ISL,A,IRLT,PA,_Z,_Z,_Z,4.40614166666667
2002,ISL,A,IRLT,PA,_Z,_Z,_Z,5.23183333333333
2001,ISL,A,IRLT,PA,_Z,_Z,_Z,5.26083333333333
2009,ISL,A,UNEMP,PT_LF,_T,Y,_Z,8.208333333333332
2008,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.3916666666666666
2007,ISL,A,UNEMP,PT_LF,_T,Y,_Z,2.4916666666666667
2006,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.208333333333334
2005,ISL,A,UNEMP,PT_LF,_T,Y,_Z,2.9
2004,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.35
2003,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.591666666666667
2000,ISL,A,IRLT,PA,_Z,_Z,_Z,5.30333333333333
2024,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.3583333333333334
2023,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.3666666666666667
2022,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.575
2021,ISL,A,UNEMP,PT_LF,_T,Y,_Z,5.85
2020,ISL,A,UNEMP,PT_LF,_T,Y,_Z,6.25
2019,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.9
2018,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.1333333333333333
2017,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.2833333333333337
2016,ISL,A,UNEMP,PT_LF,_T,Y,_Z,3.441666666666667
2015,ISL,A,UNEMP,PT_LF,_T,Y,_Z,4.591666666666667
2014,ISL,A,UNEMP,PT_LF,_T,Y,_Z,5.508333333333334
2013,ISL,A,UNEMP,PT_LF,_T,Y,_Z,6.1
2012,ISL,A,UNEMP,PT_LF,_T,Y,_Z,6.841666666666667
2020,EST,A,UNEMP,PT_LF,_T,Y,_Z,6.88333333333333
2019,EST,A,UNEMP,PT_LF,_T,Y,_Z,4.48333333333333
2002,EST,A,UNEMP,PT_LF,_T,Y,_Z,11.3333333333333
2001,EST,A,UNEMP,PT_LF,_T,Y,_Z,13.0416666666667
2000,EST,A,UNEMP,PT_LF,_T,Y,_Z,14.4583333333333
2024,EST,A,IRLT,PA,_Z,_Z,_Z,3.546666666666667
2023,EST,A,IRLT,PA,_Z,_Z,_Z,3.9008333333333343
2022,EST,A,IRLT,PA,_Z,_Z,_Z,2.28583333333333
2021,EST,A,IRLT,PA,_Z,_Z,_Z,0.0633333333333333
2018,EST,A,UNEMP,PT_LF,_T,Y,_Z,5.39166666666667
2017,EST,A,UNEMP,PT_LF,_T,Y,_Z,5.80833333333333
2016,EST,A,UNEMP,PT_LF,_T,Y,_Z,6.83333333333333
2015,EST,A,UNEMP,PT_LF,_T,Y,_Z,6.39166666666667
2014,EST,A,UNEMP,PT_LF,_T,Y,_Z,7.31666666666667
2013,EST,A,UNEMP,PT_LF,_T,Y,_Z,8.49166666666667
2012,EST,A,UNEMP,PT_LF,_T,Y,_Z,9.90833333333333
2011,EST,A,UNEMP,PT_LF,_T,Y,_Z,12.35
2010,EST,A,UNEMP,PT_LF,_T,Y,_Z,16.5833333333333
2009,EST,A,UNEMP,PT_LF,_T,Y,_Z,13.475
2007,EST,A,UNEMP,PT_LF,_T,Y,_Z,4.6
2006,EST,A,UNEMP,PT_LF,_T,Y,_Z,5.94166666666667
2005,EST,A,UNEMP,PT_LF,_T,Y,_Z,7.975
2004,EST,A,UNEMP,PT_LF,_T,Y,_Z,10.0833333333333
2003,EST,A,UNEMP,PT_LF,_T,Y,_Z,10.35
2024,EST,A,UNEMP,PT_LF,_T,Y,_Z,7.608333333333333
2023,EST,A,UNEMP,PT_LF,_T,Y,_Z,6.416666666666667
2000,FIN,A,IRLT,PA,_Z,_Z,_Z,5.4825
2024,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.383333333333333
2023,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.216666666666667
2006,FIN,A,UNEMP,PT_LF,_T,Y,_Z,7.71666666666667
2005,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.4
2004,FIN,A,UNEMP,PT_LF,_T,Y,_Z,8.825
2021,IRL,A,IRLT,PA,_Z,_Z,_Z,0.0631583333333333
2020,IRL,A,IRLT,PA,_Z,_Z,_Z,-0.06104166666666666
2019,IRL,A,IRLT,PA,_Z,_Z,_Z,0.3310583333333333
2018,IRL,A,IRLT,PA,_Z,_Z,_Z,0.9518416666666667
2017,IRL,A,IRLT,PA,_Z,_Z,_Z,0.8016666666666667
2016,IRL,A,IRLT,PA,_Z,_Z,_Z,0.7358333333333333
2015,IRL,A,IRLT,PA,_Z,_Z,_Z,1.1825
2014,IRL,A,IRLT,PA,_Z,_Z,_Z,2.3675
2013,IRL,A,IRLT,PA,_Z,_Z,_Z,3.7899999999999996
2012,IRL,A,IRLT,PA,_Z,_Z,_Z,6.171666666666667
2011,IRL,A,IRLT,PA,_Z,_Z,_Z,9.601666666666668
2010,IRL,A,IRLT,PA,_Z,_Z,_Z,5.739166666666667
2009,IRL,A,IRLT,PA,_Z,_Z,_Z,5.2250000000000005
2008,IRL,A,IRLT,PA,_Z,_Z,_Z,4.525833333333333
2007,IRL,A,IRLT,PA,_Z,_Z,_Z,4.305833333333334
2006,IRL,A,IRLT,PA,_Z,_Z,_Z,3.765
2005,IRL,A,IRLT,PA,_Z,_Z,_Z,3.329166666666666
2004,IRL,A,IRLT,PA,_Z,_Z,_Z,4.076666666666666
2003,IRL,A,IRLT,PA,_Z,_Z,_Z,4.132499999999999
2002,IRL,A,IRLT,PA,_Z,_Z,_Z,5.010000000000001
2000,ISR,A,UNEMP,PT_LF,_T,Y,_Z,8.77060564775
2024,ISR,A,IRLT,PA,_Z,_Z,_Z,4.676666666666667
2023,ISR,A,IRLT,PA,_Z,_Z,_Z,3.8680833333333333
2006,ISR,A,IRLT,PA,_Z,_Z,_Z,6.31416666666667
2005,ISR,A,IRLT,PA,_Z,_Z,_Z,6.36166666666667
2004,ISR,A,IRLT,PA,_Z,_Z,_Z,7.56166666666667
2003,ISR,A,IRLT,PA,_Z,_Z,_Z,8.88428383333333
2002,ISR,A,IRLT,PA,_Z,_Z,_Z,9.23308741666667
2001,ISR,A,IRLT,PA,_Z,_Z,_Z,6.42648025
2000,ISR,A,IRLT,PA,_Z,_Z,_Z,5.47583333333333
2022,ISR,A,IRLT,PA,_Z,_Z,_Z,2.61916666666667
2021,ISR,A,IRLT,PA,_Z,_Z,_Z,1.11666666666667
2020,ISR,A,IRLT,PA,_Z,_Z,_Z,0.7775
2019,ISR,A,IRLT,PA,_Z,_Z,_Z,1.46833333333333
2018,ISR,A,IRLT,PA,_Z,_Z,_Z,1.99416666666667
2017,ISR,A,IRLT,PA,_Z,_Z,_Z,1.90916666666667
2016,ISR,A,IRLT,PA,_Z,_Z,_Z,1.87916666666667
2015,ISR,A,IRLT,PA,_Z,_Z,_Z,2.07
2014,ISR,A,IRLT,PA,_Z,_Z,_Z,2.88583333333333
2013,ISR,A,IRLT,PA,_Z,_Z,_Z,3.79583333333333
2012,ISR,A,IRLT,PA,_Z,_Z,_Z,4.39916666666667
2011,ISR,A,IRLT,PA,_Z,_Z,_Z,4.98
2010,ISR,A,IRLT,PA,_Z,_Z,_Z,4.68416666666667
2009,ISR,A,IRLT,PA,_Z,_Z,_Z,5.06333333333333
2008,ISR,A,IRLT,PA,_Z,_Z,_Z,5.92333333333333
2007,ISR,A,IRLT,PA,_Z,_Z,_Z,5.55416666666667
2024,ISR,A,UNEMP,PT_LF,_T,Y,_Z,2.9666666666666663
2023,ISR,A,UNEMP,PT_LF,_T,Y,_Z,3.4166666666666665
2022,ISR,A,UNEMP,PT_LF,_T,Y,_Z,3.76666666666667
2021,ISR,A,UNEMP,PT_LF,_T,Y,_Z,4.95833333333333
2020,ISR,A,UNEMP,PT_LF,_T,Y,_Z,4.325
2019,ISR,A,UNEMP,PT_LF,_T,Y,_Z,3.8
2018,ISR,A,UNEMP,PT_LF,_T,Y,_Z,4
2017,ISR,A,UNEMP,PT_LF,_T,Y,_Z,4.21666666666667
2016,ISR,A,UNEMP,PT_LF,_T,Y,_Z,4.80833333333333
2015,ISR,A,UNEMP,PT_LF,_T,Y,_Z,5.24166666666667
2014,ISR,A,UNEMP,PT_LF,_T,Y,_Z,5.90833333333333
2013,ISR,A,UNEMP,PT_LF,_T,Y,_Z,6.20833333333333
2012,ISR,A,UNEMP,PT_LF,_T,Y,_Z,6.85
2010,ISR,A,UNEMP,PT_LF,_T,Y,_Z,6.63659478425
2009,ISR,A,UNEMP,PT_LF,_T,Y,_Z,7.5440865165
2008,ISR,A,UNEMP,PT_LF,_T,Y,_Z,6.0991404415
2007,ISR,A,UNEMP,PT_LF,_T,Y,_Z,7.31855804075
2006,ISR,A,UNEMP,PT_LF,_T,Y,_Z,8.40383747675
2005,ISR,A,UNEMP,PT_LF,_T,Y,_Z,8.9899031995
2004,ISR,A,UNEMP,PT_LF,_T,Y,_Z,10.367712869
2003,ISR,A,UNEMP,PT_LF,_T,Y,_Z,10.71265731925
2002,ISR,A,UNEMP,PT_LF,_T,Y,_Z,10.29843927275
2000,ITA,A,IRLT,PA,_Z,_Z,_Z,5.575166666666667
2024,ITA,A,UNEMP,PT_LF,_T,Y,_Z,6.516666666666667
2023,ITA,A,UNEMP,PT_LF,_T,Y,_Z,7.666666666666667
2006,ITA,A,UNEMP,PT_LF,_T,Y,_Z,6.86666666666667
2005,ITA,A,UNEMP,PT_LF,_T,Y,_Z,7.78333333333333
2004,ITA,A,UNEMP,PT_LF,_T,Y,_Z,8.05
2002,ITA,A,UNEMP,PT_LF,_T,Y,_Z,8.475
2001,ITA,A,UNEMP,PT_LF,_T,Y,_Z,9.00833333333333
2000,ITA,A,UNEMP,PT_LF,_T,Y,_Z,10.05
2022,ITA,A,UNEMP,PT_LF,_T,Y,_Z,8.075
2021,ITA,A,UNEMP,PT_LF,_T,Y,_Z,9.55833333333333
2020,ITA,A,UNEMP,PT_LF,_T,Y,_Z,9.3
2019,ITA,A,UNEMP,PT_LF,_T,Y,_Z,9.93333333333333
2018,ITA,A,UNEMP,PT_LF,_T,Y,_Z,10.6
2017,ITA,A,UNEMP,PT_LF,_T,Y,_Z,11.2583333333333
