Reference area,TIME_PERIOD,GINI,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
Germany,2019,0.318,DEU,16.299999,29.937781,0.0429561965328376,0.0715676345448771,-0.253634457795785,2.975,25334826.0,54972.7017885437,1.61076787290379
Germany,2018,0.319,DEU,16.6,29.897059,0.0418194588954651,0.0703430065313746,0.3963639818905164,3.20833333333333,24963258.0,57196.4220783778,1.91140094445691
Germany,2017,0.313,DEU,16.700001,29.889263,0.0409983458967134,0.0698457871400229,0.3163361138077956,3.56666666666667,24592588.0,53901.7145392154,1.94864740944527
Germany,2016,0.314,DEU,17.0,29.818844,0.0411484585949807,0.0705091501856965,0.0914991922328878,3.90833333333333,24190907.0,49888.0410842736,1.27699094497324
Germany,2015,0.317,DEU,17.6,29.780475,0.0416019315217215,0.0704237356796785,0.49519367547657,4.36666666666667,23815995.0,56739.0265346593,1.50836672165921
Germany,2014,0.308,DEU,17.700001,29.70721,0.0418475329713209,0.0699270058321625,1.1634722907400257,4.70833333333333,23475686.0,62544.0873773726,2.48792270531404
Germany,2013,0.315,DEU,18.0,29.644974,0.0422501464802883,0.0691798498925817,1.5714080060438764,4.95,23128129.0,68190.7010035651,2.4498886414254
Germany,2012,0.311,DEU,18.299999,29.58,0.0415365057599326,0.0670448296302645,1.495130210995014,5.08333333333333,22733465.0,68072.8732340801,1.76278015613196
Germany,2011,0.306,DEU,18.4,29.550934,0.0423755645404888,0.0667415141512699,2.609184991464167,5.51666666666667,22340024.0,62605.600458306,3.3038501560874
Germany,2010,0.302,DEU,18.9,29.486964,0.0432505370671936,0.0685427704257563,2.744267378756509,6.575,22031750.0,52144.6654705468,2.91834002677376
Germany,2009,0.305,DEU,18.799999,29.37,0.042779784117008,0.0699695775731801,3.2222178304787,7.225,21691653.0,42816.5674002829,1.77111716621254
Germany,2008,0.308,DEU,19.0,29.405,0.0390241265330079,0.0636762070989465,3.984768224497344,7.425,21249199.0,49701.2817843335,4.35029854990048
Germany,2007,0.312,DEU,19.799999,38.363332,0.0387971930045396,0.062468236423284,4.216955003518639,8.54166666666667,20827622.0,41051.6120652288,2.32761128891476
Germany,2006,0.31,DEU,20.6,38.414889,0.039757973439728,0.0631416465390033,3.76412531864906,10.275,20450966.0,36595.7071548423,3.55528773727026
Germany,2005,0.317,DEU,21.5,38.363332,0.0405372982874033,0.064341211930978,3.354017535604493,11.2833333333333,20176844.0,34479.7679298388,2.69183168316832
Germany,2004,0.302,DEU,22.200001,38.337521,0.0406883438579347,0.0636360464710593,4.037155655938266,10.5,19932722.0,30836.7306824685,2.34325522482583
Germany,2003,0.298,DEU,23.0,39.63762,0.0413796796694067,0.0673952722453066,4.071142521983484,9.80833333333333,19720737.0,23718.1338501868,2.73259596616786
Germany,2002,0.298,DEU,23.5,38.285834,0.0414228914795623,0.0664741652274034,4.783579595123073,8.68333333333333,19495210.0,20301.8431713256,2.98157453936348
Germany,2001,0.299,DEU,23.700001,38.259958,0.0411791230363534,0.0649096118021653,4.7965932489180405,7.85833333333333,19274701.0,19695.7297379144,4.40713536201469
Germany,2000,0.289,DEU,24.6,51.611553,0.0403346074021201,0.064338438999652,5.263958654596528,8.00833333333333,19028802.0,21870.4159669594,4.45743514797224
United Kingdom,2019,0.3279999999999999,GBR,23.5,19.0,0.0490250102846071,0.076439139969587,0.935825,3.825,25334826.0,54972.7017885437,1.61076787290379
United Kingdom,2018,0.337,GBR,23.4,19.0,0.0494275483333556,0.0752216324371908,1.46065833333333,4.1,24963258.0,57196.4220783778,1.91140094445691
