Country,TIME_PERIOD,IRLT,UNEMP
BRA,2008,6.25,
BRA,2009,6.125,
BRA,2010,6.0,
BRA,2011,6.0,
BRA,2012,5.75,
BRA,2013,5.0,
BRA,2014,5.0,
BRA,2015,6.25,
BRA,2016,7.5,
BRA,2017,7.125,
BRA,2018,6.7225,
BRA,2019,6.2025,
BRA,2020,4.8725,
BRA,2021,4.8,
BRA,2022,6.7775,
BRA,2023,7.05,
BRA,2024,6.885000000000001,
CAN,2000,5.92541187165873,6.81666666666667
CAN,2001,5.48027224310777,7.21666666666667
CAN,2002,5.2909071067821065,7.675
CAN,2003,4.810544562162985,7.575
CAN,2004,4.579606758579584,7.19166666666667
CAN,2005,4.066929292929292,6.75833333333333
CAN,2006,4.207759697332923,6.46666666666667
CAN,2007,4.26976742993848,6.16666666666667
CAN,2008,3.605302394243184,6.29166666666667
CAN,2009,3.230618895724159,8.45
CAN,2010,3.2351399665996348,8.175
CAN,2011,2.7830361208521954,7.641666666666666
CAN,2012,1.8734101256930216,7.416666666666667
CAN,2013,2.2619587605377083,7.166666666666667
CAN,2014,2.230830257461836,7.041666666666666
CAN,2015,1.5216945963393331,7.0
CAN,2016,1.2517575757575763,7.0666666666666655
CAN,2017,1.7836520298605532,6.433333333333334
CAN,2018,2.2779121098200066,5.841666666666668
CAN,2019,1.5887419210906044,5.683333333333334
CAN,2020,0.7531086618060302,9.69166666666667
CAN,2021,1.358811126548255,7.533333333333333
CAN,2022,2.7685795797134483,5.275
CAN,2023,3.360639308250866,5.383333333333334
CAN,2024,3.3398444121667814,6.3500000000000005
CHE,2000,3.92508333333333,
CHE,2001,3.38175,
CHE,2002,3.19891666666667,
CHE,2003,2.65875,
CHE,2004,2.74016666666667,
CHE,2005,2.0955,
CHE,2006,2.51708333333333,
CHE,2007,2.92675,
CHE,2008,2.89683333333333,
CHE,2009,2.20266666666667,
CHE,2010,1.6319166666666665,4.803625370376183
CHE,2011,1.4713333333333332,4.401668394045508
CHE,2012,0.6454166666666666,4.484188237313427
CHE,2013,0.9493333333333333,4.747292142222041
CHE,2014,0.6927500000000001,4.829987515398798
CHE,2015,-0.0686666666666666,4.800638596252196
CHE,2016,-0.362,4.9191804927589455
CHE,2017,-0.0720833333333333,4.797587531576728
CHE,2018,0.0331666666666667,4.714413963724699
CHE,2019,-0.489,4.394451842306626
CHE,2020,-0.523833333333333,4.815327954899376
CHE,2021,-0.23225,5.015058236729323
CHE,2022,0.8288333333333333,4.123311167521486
CHE,2023,1.0304999999999995,4.0431936571223694
CHE,2024,0.5693333333333332,4.340684197576865
CHL,2000,,9.6675
CHL,2001,,9.8525
CHL,2002,,9.805
CHL,2003,,9.54
CHL,2004,,10.0075
CHL,2005,6.006973103621354,9.235
CHL,2006,6.16,7.8
CHL,2007,6.082870088930899,7.13
CHL,2008,6.94509272517411,7.7925
CHL,2009,5.665295275370866,9.675
CHL,2010,6.252874114851377,8.15
CHL,2011,5.969644615918043,7.125
CHL,2012,5.425570541562935,6.545560819096639
CHL,2013,5.308737146188217,6.082219565888405
CHL,2014,4.736615266979671,6.495095701153517
CHL,2015,4.480221464463689,6.328376849984235
CHL,2016,4.405276824440056,6.684912976319645
CHL,2017,4.244958345179341,6.96517462475981
CHL,2018,4.497857280023847,7.376638976559269
CHL,2019,3.577886623333134,7.222639574181943
CHL,2020,2.798563146341232,10.77024455383019
CHL,2021,4.361590093668093,8.861450621078715
CHL,2022,6.260022348838503,7.878028038869055
CHL,2023,5.655799479799437,8.681177834205096
CHL,2024,5.78893759968102,8.462000255549642
CHN,2014,4.10411666666667,
CHN,2015,3.33388333333333,
CHN,2016,2.85006666666667,
CHN,2017,3.59166666666667,
CHN,2018,3.57916666666667,
CHN,2019,3.1813,
CHN,2020,2.92443333333333,
CHN,2021,3.00553333333333,
CHN,2022,2.76418333333333,
CHN,2023,2.715,
CHN,2024,2.181666666666666,
COL,2003,15.188333333333334,
COL,2004,14.34083333333333,
COL,2005,11.555,
COL,2006,9.155833333333332,
COL,2007,10.048333333333334,11.2983333333333
COL,2008,11.8925,11.39
COL,2009,9.469166666666666,12.2158333333333
COL,2010,8.465833333333334,11.9675
COL,2011,8.088333333333333,10.9916666666667
COL,2012,6.8133333333333335,10.505
COL,2013,6.495,9.7425
COL,2014,7.055833333333335,9.205
COL,2015,7.854166666666667,8.95083333333334
COL,2016,7.905833333333334,9.22666666666667
COL,2017,6.771666666666667,9.29583333333333
COL,2018,6.995833333333333,9.52916666666667
COL,2019,6.4975,10.3708333333333
COL,2020,6.33333333333334,15.8641666666667
COL,2021,7.62416666666667,13.810833333333331
COL,2022,11.684166666666668,11.218333333333334
COL,2023,11.339166666666667,10.164166666666668
COL,2024,10.773333333333335,10.165833333333332
CRI,2011,,10.29847593575
CRI,2012,,10.171754124
CRI,2013,,9.3861625635
CRI,2014,9.836666666666664,9.61738513875
CRI,2015,9.63,9.61297364575
CRI,2016,8.334999999999999,9.5378522955
CRI,2017,8.906666666666665,9.07172439475
CRI,2018,9.9625,10.264046309
CRI,2019,10.616666666666664,11.755392085
CRI,2020,8.836666666666666,19.6068848475
CRI,2021,7.933333333333333,16.43337201
CRI,2022,8.018333333333333,12.2188307875
CRI,2023,8.106666666666666,8.89087364125
CRI,2024,6.521666666666667,7.45244371175
CZE,2000,,8.775
CZE,2001,6.314695188573727,8.125
CZE,2002,4.876591212844031,7.29166666666667
CZE,2003,4.11529776602021,7.775
CZE,2004,4.820178636817549,8.29166666666667
CZE,2005,3.5443901623917267,7.94166666666667
CZE,2006,3.7982323134467184,7.13333333333333
CZE,2007,4.302214655339868,5.325
CZE,2008,4.633776640016089,4.40833333333333
CZE,2009,4.837805164334827,6.68333333333333
CZE,2010,3.8854240205895247,7.29166666666667
CZE,2011,3.707122499151676,6.71666666666667
CZE,2012,2.78184081858158,6.975
CZE,2013,2.1118045057111074,6.96666666666667
CZE,2014,1.575471165343788,6.11666666666667
CZE,2015,0.5739476892146904,5.05833333333333
CZE,2016,0.4271085168794761,3.96666666666667
CZE,2017,0.9803624893823638,2.90833333333333
CZE,2018,1.981123419484392,2.26666666666667
CZE,2019,1.5481160086050405,2.01666666666667
CZE,2020,1.1287859061341934,2.55
CZE,2021,1.903468270004315,2.80833333333333
CZE,2022,4.333533659195987,2.4
CZE,2023,4.43843208064349,2.633333333333333
CZE,2024,3.979914188782703,2.7750000000000004
DEU,2000,5.263958654596528,8.00833333333333
DEU,2001,4.7965932489180405,7.85833333333333
DEU,2002,4.783579595123073,8.68333333333333
DEU,2003,4.071142521983484,9.80833333333333
DEU,2004,4.037155655938266,10.5
DEU,2005,3.354017535604493,11.2833333333333
DEU,2006,3.76412531864906,10.275
DEU,2007,4.216955003518639,8.54166666666667
DEU,2008,3.984768224497344,7.425
DEU,2009,3.2222178304787,7.225
DEU,2010,2.744267378756509,6.575
DEU,2011,2.609184991464167,5.51666666666667
DEU,2012,1.495130210995014,5.08333333333333
DEU,2013,1.5714080060438764,4.95
DEU,2014,1.1634722907400257,4.70833333333333
DEU,2015,0.49519367547657,4.36666666666667
DEU,2016,0.0914991922328878,3.90833333333333
DEU,2017,0.3163361138077956,3.56666666666667
DEU,2018,0.3963639818905164,3.20833333333333
DEU,2019,-0.253634457795785,2.975
DEU,2020,-0.5110240055837881,3.625
DEU,2021,-0.3738211697722568,3.575
DEU,2022,1.1425829849657096,3.06666666666667
DEU,2023,2.4345987059491065,3.025
DEU,2024,2.3210841123449817,3.408333333333333
DNK,2000,5.64183333333333,4.325
DNK,2001,5.07916666666667,4.525
DNK,2002,5.05591666666667,4.58333333333333
DNK,2003,4.30775,5.40833333333333
