,REF_AREA,TIME_PERIOD,Education spending,Health spending,Housing spending,Community development spending
0,AUS,2000,0.05542635638658816,0.05784201269720857,0.0035273597338471127,0.0009682128811310201
1,AUS,2001,0.05884537402468453,0.06217647560577256,0.004010946034651584,0.0013556016659233448
2,AUS,2002,0.06231383753017568,0.06680953779698022,0.003289068042523261,0.0019314351985935845
3,AUS,2003,0.06701205551458891,0.07289796852223282,0.003060120143196725,0.001806677184678447
4,AUS,2004,0.06314539256822363,0.07072867849548983,0.0032795498148685195,0.0016738745680412472
5,AUS,2005,0.06112352561515914,0.06955939103822359,0.0033567828840248668,0.0019100072655994986
6,AUS,2006,0.058769750461061705,0.06884945188408714,0.0034450886077499613,0.0018764866394432472
7,AUS,2007,0.06150836966111399,0.07356067872532535,0.003257989189992657,0.0026433850412046164
8,AUS,2008,0.0561801610975775,0.0657562436925233,0.003777378188733704,0.0019236354022525298
9,AUS,2009,0.07275821165028584,0.07517581576991528,0.005446537103131826,0.002556160798941301
10,AUS,2010,0.07276171385526566,0.07731610784866434,0.003334352965714044,0.002423314475800317
11,AUS,2011,0.06502020854575927,0.07946226028908181,0.0029552293604071804,0.002421267279814518
12,AUS,2012,0.06077779823444432,0.07314491833225989,0.002726466911848001,0.0020527117755950106
13,AUS,2013,0.056455709246476596,0.06903182463826077,0.002567253733421406,0.0018914673429356568
14,AUS,2014,0.05781723060114456,0.07151471116331218,0.002513445628681559,0.0021180721590013138
15,AUS,2015,0.053970166238166306,0.06890430655595467,0.0022633044908687526,0.0018152024472332295
16,AUS,2016,0.062172382590271545,0.08290102723853494,0.002675776546774522,0.002155281339126163
17,AUS,2017,0.0622653788384968,0.08032425825982437,0.0026289852317595078,0.0024179494698082825
18,AUS,2018,0.06029261281456419,0.07597447970133511,0.0022904275014480895,0.002748303686910068
19,AUS,2019,0.06284682959860957,0.0777980958506686,0.0020180266227239974,0.0027327963787815695
20,AUS,2020,0.06560072803220113,0.08850184691801309,0.0028467096836976144,0.003241467241291351
21,AUS,2021,0.06461460083535278,0.0916093703699642,0.0025941383375591397,0.0033526921818007624
22,AUS,2022,0.058062062262584396,0.07933582793759837,0.0017746598463132097,0.003214981325833709
23,AUS,2023,0.058302464345254656,0.07829280339420921,0.0018480952344088887,0.0024951400189959826
24,AUT,2000,0.0523599019174591,0.07284229557323682,0.0011990199090363334,0.0004547405882433621
25,AUT,2001,0.05206631753211529,0.07258248772679216,0.001249149269768547,0.0004988300718562643
26,AUT,2002,0.05207569534573123,0.0754671771125383,0.0014053175247906817,0.0004475140183110944
27,AUT,2003,0.05272942348624814,0.0766057369396246,0.0013495162388549122,0.00045197863232412526
28,AUT,2004,0.04938282495992805,0.07754987142002055,0.001279279083250262,0.00042067545312002476
29,AUT,2005,0.048312865752458356,0.07689562383153177,0.0012679363791156411,0.0004106121436508507
30,AUT,2006,0.04824831288462959,0.07582049102916963,0.001482663057184879,0.0003705059499972764
31,AUT,2007,0.04711474977658988,0.0761085537027952,0.00119666957831106,0.00037631787396474664
32,AUT,2008,0.048747661795003665,0.0777604428864198,0.0014214336035065689,0.0003650210244469067
33,AUT,2009,0.05143716690624002,0.08112940671417848,0.001610763803362374,0.0004228813888685137
34,AUT,2010,0.05159353420955155,0.0815049502057499,0.0016994693763699035,0.00042649121423678693
35,AUT,2011,0.05026595235061594,0.07939564076360009,0.0013766559626776549,0.00041308764861603216
36,AUT,2012,0.050429008348699976,0.07993476471622975,0.0012373439781197986,0.0004258196760276977
37,AUT,2013,0.05084212805754619,0.08083717378894165,0.0011740963089430262,0.00039913857178673585
38,AUT,2014,0.049906413546882425,0.08182243801292896,0.0011319743641007057,0.00040807179026976584
39,AUT,2015,0.04965883479807297,0.08304372084082143,0.0011189372046372054,0.00040463800158288776
40,AUT,2016,0.04926062571134374,0.08264018223859951,0.0011183819857754343,0.00036846408536558986
41,AUT,2017,0.048718209411144964,0.08285214347229942,0.0010650025274105256,0.00036888614269717034
42,AUT,2018,0.0480505768485229,0.08343759569944634,0.0010252213399772163,0.00039106623115903644
43,AUT,2019,0.048352976119159334,0.08396361275294693,0.0009409492791846692,0.00037214425216934626
44,AUT,2020,0.050566331644901916,0.09248786854955986,0.0009909342179519089,0.00036895451870144037
45,AUT,2021,0.049009868408614835,0.10100313007296241,0.0008645058603744286,0.0003890387145806393
46,AUT,2022,0.04755309367682497,0.09390268056817676,0.0008021518481685057,0.00037008313556039245
47,AUT,2023,0.04926706188216535,0.09136088127636112,0.001008353885885201,0.00036475117197419115
48,BEL,2000,0.05532724540948338,0.06277059822978971,,
49,BEL,2001,0.05676057153255522,0.06297692813170308,0.0003582576496709486,0.001665311693613005
50,BEL,2002,0.05789664559850307,0.06347054171565919,0.00039267221677555714,0.0015125016513824583
51,BEL,2003,0.0589131871172231,0.06864539925647509,0.000516358096473633,0.0014377656914895994
52,BEL,2004,0.056293433353647726,0.0689283763847199,0.000689644252049296,0.0013233622970442772
53,BEL,2005,0.056915677324296844,0.06800465491927205,0.0006676609546712824,0.0012730713952113773
54,BEL,2006,0.05626577149421073,0.066982314398057,0.0009312581981014931,0.0014273346424666545
55,BEL,2007,0.05518235463765268,0.06762084390585073,0.000829407229928277,0.0014303636965254322
56,BEL,2008,0.0572372279655237,0.07292367639905374,0.0012836072690551713,0.0013998853140260604
57,BEL,2009,0.060478542705952106,0.07807815666474656,0.0015537698401857265,0.0011287334115730107
58,BEL,2010,0.06031867425168571,0.07755344640383577,0.0016457329871182827,0.0011053225064034636
